title,compound,datetime
"Delays, disruptions as South Koreans surge to sign online petition to impeach president",-0.34,2024-07-01 13:12:00.934446
"North Korea tests 2 missiles, 1 reportedly may have fallen on land",-0.3612,2024-07-01 13:12:50.766894
South Korea’s Inflation Slows More Than Expected Toward BOK's 2% Target,0.0,2024-07-01 13:12:50.770844
Renault Korea hit by misandry allegations over finger gesture in clip,0.0,2024-07-01 13:12:50.776651
"Garbage, Balloons, and Korean Unification Values",0.4019,2024-07-01 13:13:03.038280
Petition to Impeach South Korea's President Crashes,0.0,2024-07-01 13:13:03.038280
Young Men Are Swinging Hard Right in Korea. It Could Be a Preview for America.,-0.1027,2024-07-01 13:13:03.038280
Royal Canadian Navy Frigate HMCS Montreal Visits South Korea,0.0,2024-07-01 13:13:03.038280
ICC signs Memorandum of Understanding with Korea University,0.0,2024-07-01 13:13:03.038280
"Lawsuit accuses Iran, Syria and North Korea of providing support for Hamas' Oct. 7 attack on Israel",-0.5719,2024-07-01 13:13:03.047010
Swelling deer herd hems in South Korean islanders,0.0,2024-07-01 13:13:03.047010
North Korea switches TV transmission to Russia satellite from Chinese,0.0,2024-07-01 13:13:03.047010
At least nine dead in South Korean capital Seoul as car ploughs into crowd,-0.6486,2024-07-01 13:13:03.047010
South Korea inflation hits 11-month low as supply pressures ease,-0.2263,2024-07-01 13:13:03.047010
North Koreans are seen wearing Kim Jong Un pins for the first time as his personality cult grows,0.0,2024-07-01 13:13:03.052087
"South Korea: Extend state benefits to same-sex partners, ILGA World and ILGA Asia tell the Supreme Court",0.7845,2024-07-01 13:13:03.054846
Put North Korea's Human Rights Issues Front and Center,0.0,2024-07-01 13:13:03.058362
"Victims of Hamas Attack Sue Iran, Syria, North Korea in US Court",-0.6597,2024-07-01 13:13:03.058362
North Korea says it tested ballistic missile capable of carrying super-large warhead,0.3818,2024-07-01 13:13:03.058362
This Song Is Catchy and Going Viral. It's Also North Korean Propaganda.,-0.25,2024-07-01 13:13:03.058362
South Korea’s Inflation Cools More Than Expected Toward Target,0.0,2024-07-01 13:13:03.058362
Deepening Russia-North Korea ties test US-South Korea deterrence strategy,0.0,2024-07-01 13:13:03.058362
Leftover Ramen Broth Is Causing Problems on South Korea's Mount Halla,-0.4019,2024-07-01 13:13:03.058362
Philippine Fried Chicken Giant Jollibee Buys South Korea’s Compose Coffee,0.0,2024-07-01 13:13:03.058362
"Failed North Korean missile test may have fallen near capital Pyongyang, South Korea says",-0.7003,2024-07-01 13:13:03.058362
Korea Box Office: ‘Inside Out 2’ Dominates on Third Weekend as ‘A Quiet Place’ Creeps Into Fourth Place,0.0516,2024-07-01 13:13:03.071525
North Korea ruling party continues plenary session for 3rd day,0.4019,2024-07-01 13:13:03.076978
Wine set for growth in South Korea’s On Premise,0.3818,2024-07-01 13:13:03.076978
European Union supporting future Korean Youth Climate Ambassadors in run-up to COP29,0.4404,2024-07-01 13:13:03.076978
"US victims of October 7 attacks sue Iran, Syria and North Korea over alleged Hamas support",-0.3612,2024-07-01 13:13:03.081989
Ramboll to Design Foundations for 532 MW South Korean Offshore Wind Project | Offshore Wind,0.0,2024-07-01 13:13:03.083063
North Korea says tests involved new ballistic missile with 'super-large warhead',0.0,2024-07-01 13:13:03.087126
South Korea: internet usage of young children 2022,0.0,2024-07-01 13:13:03.090418
Nine Killed in Central Seoul After Car Plows Into Pedestrians,-0.6705,2024-07-01 13:13:03.090418
What Are ‘Dumping Tours’ and Why Is South Korea Cracking Down on Them?,0.0,2024-07-02 13:13:03.038280
Driver whose car struck pedestrians in South Korea will face accidental homicide investigation,-0.3182,2024-07-02 13:13:03.038280
North Korea claims ballistic missile test with ‘superlarge warhead’,0.0,2024-07-02 13:13:03.038280
Jollibee Foods to take control of S.Korea's Compose Coffee in $340 mln deal,0.0,2024-07-02 13:13:03.052087
South Korean president announces tax breaks for companies that raise shareholder returns,0.0,2024-07-02 13:13:03.055858
North Korea says it has tested new ballistic missile capable of carrying ‘super-large warhead',0.3818,2024-07-02 13:13:03.058362
North Korea claims test of ballistic missile capable of carrying a huge warhead,0.5994,2024-07-02 13:13:03.058362
Plant Protection Today: South Korea Grants Market Access to Texas Grapefruit | Animal and Plant Health Inspection ...,0.2263,2024-07-02 13:13:03.058362
South Korea Climate Action: A Moment for Elevated Ambition,0.0,2024-07-02 13:13:03.058362
Ukraine War: North Korea Boosts China Russia Iran Axis,-0.3818,2024-07-02 13:13:03.066939
Philippines' Jollibee to buy South Korea's Compose Coffee for $238m,0.0,2024-07-02 13:13:03.073906
"Russia kids will go to North Korea summer camps this year, closer ties",0.0,2024-07-02 13:13:03.073906
"S.Korea sees stronger growth, vows to support sectors hit by high interest rates",0.872,2024-07-02 13:13:03.076919
North Korea Reveals a Multiple-warhead Payload in Probable Failed Test,-0.5106,2024-07-02 13:13:03.076978
South Korea: primary energy consumption by fuel 2023,0.2732,2024-07-02 13:13:03.076978
What the North Korea-Russia Rapprochement Means for Mongolia's Transit and Transport Network,0.0,2024-07-02 13:13:03.087126
North Korea's New Must-Have Accessory: The Kim Jong-un Pin,0.0,2024-07-02 13:13:03.089297
South Korea: unemployment rate by age 2023,-0.4404,2024-07-02 13:13:03.090418
North Korea tests 'new type of ballistic missile' capable of carrying 4.5-ton class warhead,0.3818,2024-07-02 13:13:03.090418
North Korea's Kim talks up economy amid closer Russia ties,0.0,2024-07-02 13:13:03.090418
"Russian kid stayed at North Korean summer camp, had weird experiences",-0.1779,2024-07-03 13:13:03.038280
North Korea switches TV broadcasts from Chinese satellite to Russian,0.0,2024-07-03 13:13:03.038280
"After boosting ties, Japan, South Korea, US try to keep them going",0.34,2024-07-03 13:13:03.038280
South Korea fines Credit Suisse for illegal stock short selling,-0.25,2024-07-03 13:13:03.055858
North Korea and Russia to build road bridge over Tumen River,0.0,2024-07-03 13:13:03.058362
South Korea: actual number of inbound medical tourists 2023,0.0772,2024-07-03 13:13:03.066939
Is your research a trade secret? South Korean data-sharing case is a wake-up call,0.0,2024-07-03 13:13:03.066939
Russia-North Korea Treaty Marks a Return to Normalcy,0.0,2024-07-03 13:13:03.073906
Korea slaps Credit Suisse with largest ever short-sale penalty,-0.1027,2024-07-03 13:13:03.083063
BTS member Jin to participate as South Korea torchbearer in Paris 2024 Olympic torch relay,0.0,2024-07-03 13:13:03.090249
Can South Korea Be a Knight for the U.S. on the Chessboard of Latin America?,0.0,2024-07-03 13:13:03.090418
North Korea — Radio Free Asia,0.5106,2024-07-04 13:12:00.934446
South Korea: plastic surgery foreign patients 2023,0.0,2024-07-04 13:13:03.056852
"Amid worsening healthcare in S.Korea, advocacy groups call on doctors to end strike",-0.5423,2024-07-04 13:13:03.058362
Debris flow hazards in urban environments in South Korea,0.0,2024-07-04 13:13:03.066939
North Korea recalls overseas students for ‘political indoctrination’,0.0,2024-07-04 13:13:03.071525
South Korea Hunts for Fraudulent Crypto Trading as Rules Tighten,-0.4939,2024-07-04 13:13:03.073906
South Korea: national debt in relation to GDP 1997-2027,-0.3612,2024-07-04 13:13:03.083063
South Korea - age distribution 2012-2022,0.0,2024-07-04 13:13:03.083063
Exploring coexistence opportunities for offshore wind and fisheries in South Korea: Global overview and best practices ...,0.7783,2024-07-04 13:13:03.083063
"Russia, North Korea have put South Korea in a predicament",0.0,2024-07-04 13:13:03.090418
Topic: Relations with the Republic of Korea,0.0,2024-07-05 13:13:03.037092
Man who stabbed South Korea opposition leader gets 15 years in jail,-0.4404,2024-07-05 13:13:03.047010
"In a first, robot dies of suicide in South Korea. What really happened?",-0.6705,2024-07-05 13:13:03.057357
Ryan Reynolds and Hugh Jackman Get Soaked Onstage in South Korea,0.0,2024-07-05 13:13:03.058362
US refutes Russia's denial of violating North Korea sanctions,-0.5423,2024-07-05 13:13:03.058362
Japan rally from 20-point deficit but fall to Korea,-0.2144,2024-07-05 13:13:03.066939
Did A Robot Really Die By 'Suicide' In South Korea? Experts Probe,-0.6361,2024-07-05 13:13:03.076978
South Korea sees its first 'robot suicide': Here's what caused it,0.0,2024-07-05 13:13:03.083063
"Governor Abbott to lead economic development mission to Taiwan, South Korea, Japan",0.0,2024-07-05 13:13:03.088234
Robot suicide? Troubled android throws itself down the stairs in South Korea; here's what happened,-0.8176,2024-07-05 13:13:03.090418
South Korea: Kimchi blamed for mass norovirus sickness,-0.4767,2024-07-06 13:13:03.038280
"With South Korean Rockets, Ukraine Could Wipe Out Russian Warplanes At Their Bases",0.0,2024-07-06 13:13:03.052087
Battery maker SK On declares 'emergency' as EV sales disappoint,-0.4019,2024-07-06 13:13:03.072534
"Stoltenberg: NATO summit will discuss cooperation between Ukraine, South Korea",0.0,2024-07-06 13:13:03.090418
NATO to discuss Russia-North Korea military cooperation,0.0,2024-07-07 13:18:12.453339
I moved to a US military base in South Korea with a month's notice. I love it so much I'm dreading going back to America.,0.1372,2024-07-07 13:18:12.479339
"If North Korea troops sent to aid Russia in Ukraine, not due to skills: experts",0.0,2024-07-07 13:18:12.483081
Carmaker's video showing controversial hand sign sparks outrage in S. Korea,-0.2263,2024-07-07 13:18:12.512788
This catchy North Korean propaganda song is going viral on TikTok,-0.25,2024-07-07 17:18:12.483081
North Korea's Kim Yo Jong Calls South Korean Drills a Provocation,0.0,2024-07-07 17:18:12.483081
North Korea's Kim Yo Jong accuses South's leader of using tensions as political distraction,-0.7717,2024-07-07 18:12:50.756423
Korea Box Office: ‘Inside Out 2’ Reaches $48 Million After Strong Fourth Weekend,0.5423,2024-07-07 18:18:12.453339
"‘Selfish’? South Korean YouTuber promotes single, childless life",0.34,2024-07-07 18:18:12.473274
Korea's Jeju Air open to M&A opportunities - CEO,0.3818,2024-07-07 18:18:12.495260
NK leader's sister slams S. Korea's resumption of live-fire drills as 'suicidal hysteria',-0.8126,2024-07-07 18:18:12.495260
Tesla regains top spot as Koreans' favorite foreign stock,0.5859,2024-07-07 18:18:12.523012
South Korea appoints Hong Myung-bo as national soccer team's head coach for second time,0.0,2024-07-07 19:18:12.453339
South Korea: Yoon leaves for Washington ahead of the NATO summit,0.0,2024-07-07 19:18:12.495260
Asia markets mostly slip as Japan real wages fall for 26th straight month; China stocks drop for fifth day,-0.0516,2024-07-07 19:18:12.502998
Sister of North Korean leader Kim calls South Korea's live-fire drills 'suicidal hysteria' – KION546,-0.8126,2024-07-07 19:18:12.523012
Hong returns for second spell as South Korea head coach,0.0,2024-07-07 20:18:12.453339
South Korea Samsung Workers Start Strike: Union Chief,-0.128,2024-07-07 20:18:12.473274
Samsung Electronics workers strike as union's voice grows in South Korea,-0.128,2024-07-07 20:18:12.502998
"9 out of 10 top 500 firms plan to maintain, increase investments in H2: poll",0.4767,2024-07-07 20:18:12.502998
"India looking at strategic oil reserves abroad; eyes capacity in Japan, South Korea, Singapore | Mint",0.0,2024-07-07 20:18:12.517866
Hong Myung-bo returns to lead South Korea's national soccer team,0.0,2024-07-07 20:18:12.523012
Samsung workers' union in South Korea kicks off three-day strike,-0.128,2024-07-07 21:18:12.448091
North Korea's Kim Yo Jong accuses S.Korean leader of using tensions as political distraction,-0.7717,2024-07-07 21:18:12.448091
China’s big mistake: underestimating North Korea’s nuclear ambitions,-0.34,2024-07-07 21:18:12.453339
Ruling party asks Yoon to veto special probe bill on Marine's death,0.128,2024-07-07 21:18:12.523012
(LEAD) N.K. leader's sister slams S. Korea's resumption of live-fire drills as 'suicidal hysteria',-0.8126,2024-07-07 22:11:49.403721
"""Suicidal Hysteria"": Kim Jong Un's Sister Hits Out At South Korea Military Drills",-0.6705,2024-07-07 22:18:12.453339
Sister of North Korean leader Kim calls South Korea's live-fire drills 'suicidal hysteria',-0.8126,2024-07-07 22:18:12.483081
The larger intention behind Cellini's grand debut in South Korea,0.4588,2024-07-07 22:18:12.483081
Kim Jong-un's sister slams South Korea's resumption of live-fire drills as 'suicidal hysteria',-0.8126,2024-07-07 22:18:12.502998
North Korea: Kim Jong Un's sister condemns South's drills,-0.5106,2024-07-07 23:18:12.448091
"Therme creating 'natural-healing urban oasis' in South Korea, eyes further locations in Asia and US | spabusiness.com ...",0.296,2024-07-07 23:18:12.463268
Messika opens first store in South Korea,0.0,2024-07-07 23:18:12.479339
'Forces will carry out its mission': Kim Jong Un's sister threatens action over South Korea's live-fire d,-0.3818,2024-07-07 23:18:12.479339
"North Korea's Kim Yo Jong calls South Korean drills a provocation, KCNA says",0.0,2024-07-07 23:18:12.512788
South Korea abandons plan to suspend licenses of striking doctors to resolve medical impasse,-0.25,2024-07-07 23:18:12.512788
North Korea Russia | World | reflector.com,0.0,2024-07-07 23:18:12.512788
NATO summit to address escalating North Korea-Russia military ties,0.0,2024-07-07 23:18:12.517866
South Korea Targets 6GW Annual Solar Power Distribution in Industrial Areas,0.0,2024-07-07 23:18:12.517866
2024 Seoul Summer Beach to open to public in Gwanghwamun Square later this month,0.0,2024-07-07 23:18:12.517866
South Korea not to revoke striking doctors' licences for breakthrough - PUNE.NEWS,0.0,2024-07-07 23:18:12.517866
South Korea says it'll withdraw its plan to suspend licenses of striking doctors to resolve the long medical impasse,0.0772,2024-07-07 23:18:12.523012
Hotels in South Korea are banning kids,0.0,2024-07-07 23:18:12.527030
North Korean leader’s sister denounces South’s border drills,-0.4404,2024-07-08 00:18:12.453339
"N. Korea inspects electronic payment system to boost safety, efficiency - Daily NK English",0.7906,2024-07-08 00:18:12.473274
North Korea: Kim Jong-un's sister denounces Seoul's exercises on the border,-0.4404,2024-07-08 00:18:12.479339
South Korean groups invited to expand further in Vietnam,0.3182,2024-07-08 00:18:12.483081
Korea’s Conflict Dynamics,-0.0516,2024-07-08 00:18:12.483081
The birthday gift of democracy,0.4404,2024-07-08 00:18:12.483081
South Korea to withdraw plan to suspend licenses of doctors on strike,-0.4215,2024-07-08 00:18:12.493209
Kanye West to perform in Korea for first time in 14 years,0.0,2024-07-08 00:18:12.495260
'Seoul Must Be Suicidal': North Korea's Kim Yo Jong Hits Out At South Korea Over Military Drills,0.0,2024-07-08 00:18:12.502998
Foreign tourists' unapproved drone flights cause problems for police,-0.6249,2024-07-08 00:18:12.502998
"Tactical style, leadership make Hong Myung-bo perfect fit as nat'l football team head coach: KFA",0.7351,2024-07-08 00:18:12.502998
"Korea, US to hold meetings on environmental cooperation",0.0,2024-07-08 00:18:12.512788
Exclusive-South Korea’s Yoon to discuss Pyongyang’s ‘distinct threat’ to Europe at NATO,0.0,2024-07-08 00:18:12.522882
"Senior football official claims transparency, autonomy in hiring nat'l team coach",0.0,2024-07-08 01:11:49.388711
South Korea will withdraw plan to suspend licenses of striking doctors to resolve medical impasse,0.0772,2024-07-08 01:18:12.448091
South Korea says it’ll withdraw its plan to suspend licenses of striking doctors to resolve the long medical impasse,0.0772,2024-07-08 01:18:12.448091
S.Korea to join offshore wind alliance to take on China,0.296,2024-07-08 01:18:12.453339
Indian archers look to cash in if South Korea slips,0.0,2024-07-08 01:18:12.453339
"Hikers wreak havoc on South Korea’s highest peak, with instant noodles",-0.5994,2024-07-08 01:18:12.453339
"South Korea may buy drones from Poland to expand arms relationship, report says",0.3182,2024-07-08 01:18:12.463268
Tesla hires battery engineer for S Korea,0.0,2024-07-08 01:18:12.467848
S Korean prez to discuss Pyongyang's 'distinct threat' to Europe at Nato,-0.5267,2024-07-08 01:18:12.467848
1 in 5 South Korean women threatened with sexual extortion: study,-0.4588,2024-07-08 01:18:12.470024
Hong Myung-bo announced as new Korea Republic coach,0.0,2024-07-08 01:18:12.470024
GM Korea supplier Erae cs eyes revival by unit sales,0.0,2024-07-08 01:18:12.470024
Samsung's largest-ever strike begins in South Korea,-0.128,2024-07-08 01:18:12.473274
Why Russia's designs on North Korean rare-earth metals probably won't pan out | NK PRO,0.0,2024-07-08 01:18:12.473274
AliExpress-Temu user numbers rise again; Korean professor warns of business shift to China,-0.1027,2024-07-08 01:18:12.483081
Semiconductors Slash South Korea's Trade Deficit with China by Over Half,-0.5859,2024-07-08 01:18:12.495260
South Korea to withdraw plan to suspend licenses of striking doctors to resolve medical impasse,0.0772,2024-07-08 01:18:12.495260
Kim Yo-jong blames S. Korea's military drills on Yoon administration crisis,-0.7783,2024-07-08 01:18:12.495260
Kim Yo Jong Accuses South Korean President Of Heightening Tensions,-0.6249,2024-07-08 01:18:12.502998
Regulator set to take steps against Google over YouTube bundling allegations,0.0,2024-07-08 01:18:12.502998
Eximbank provides $150 mil. for UAE solar power generation project,0.0,2024-07-08 01:18:12.512788
JobKorea launches KLik service to connect foreign jobseekers with local companies,0.0,2024-07-08 02:18:12.453339
Civil Servant Robot Commits Suicide in South Korea,-0.6597,2024-07-08 02:18:12.463268
"Russian-North Korean military ties pose 'distinct threat,' South Korean president says",0.0,2024-07-08 02:18:12.463268
"HyunA, Yong Jun-hyung to marry in October",0.0,2024-07-08 02:18:12.473274
The End of North Korean Sanctions Enforcement…and What Comes Next - Australian Institute of International Affairs,0.0,2024-07-08 02:18:12.473274
Ex-strongman Park Chung-hee films to hit screens in S. Korea,0.0,2024-07-08 02:18:12.483081
Yang Ming’s YM Together Bunkers B30 HSFO Biofuel in South Korea,0.0,2024-07-08 02:18:12.483081
Reactions mixed as controversial Chinese envoy departs Korea,-0.2023,2024-07-08 02:18:12.493057
Korea-China-Japan should set up security hotline: ex-envoy to Japan,0.34,2024-07-08 02:18:12.495260
"Texas governor seeks more investment from Samsung, LG",0.0,2024-07-08 02:18:12.502998
Hyosung wins $238 mil. transformer order from Norway,0.5719,2024-07-08 02:18:12.502998
"South Korea may buy drones from Poland to expand defence ties, report says",0.4019,2024-07-08 02:18:12.511170
Exclusive-South Korea's Yoon to discuss Pyongyang's 'distinct threat' to Europe at NATO,-0.5267,2024-07-08 02:18:12.512788
Single and proud: S. Korean YouTuber's viral embrace of solo life,0.6597,2024-07-08 02:18:12.517866
